,nameLast,nameGiven,height-plus-weight
0,Aardsma,David Allan,290.0
1,Aaron,Henry Louis,252.0
2,Aaron,Tommie Lee,265.0
3,Aase,Donald William,265.0
4,Abad,Fausto Andres,257.0
5,Abad,Fernando Antonio,293.0
6,Abadie,John W.,264.0
7,Abbaticchio,Edward James,241.0
8,Abbey,Bert Wood,246.0
9,Abbey,Charles S.,237.0
10,Abbott,Leander Franklin,261.0
11,Abbott,Harry Frederick,250.0
12,Abbott,William Glenn,278.0
13,Abbott,Jeffrey William,264.0
14,Abbott,James Anthony,275.0
15,Abbott,Kurt Thomas,251.0
16,Abbott,Lawrence Kyle,276.0
17,Abbott,Ody Cleon,254.0
18,Abbott,Paul David,260.0
19,Aber,Albert Julius,269.0
20,Abercrombie,Francis Patterson,
21,Abercrombie,Reginald Damascus,290.0
22,Abernathie,William Edward,260.0
23,Abernathy,Michael Brent,258.0
24,Abernathy,Talmadge Lafayette,284.0
25,Abernathy,Theodore Wade,291.0
26,Abernathy,Virgil Woodrow,242.0
27,Aberson,Clifford Alexander,272.0
28,Ables,Harry Terrell,274.0
29,Abner,Shawn Wesley,263.0
30,Abrams,Calvin Ross,257.0
31,Abrams,George Allen,239.0
32,Abrego,Johnny Ray,257.0
33,Abreu,Bob Kelly,292.0
34,Abreu,Joseph Lawrence,228.0
35,Abreu,Jose Dariel,330.0
36,Abreu,Juan de Dios,257.0
37,Abreu,Etanislao Toni,270.0
38,Abreu,Winston Leonardo,244.0
39,Abstein,William Henry,257.0
40,Accardo,Jeremiah Lee,267.0
41,Aceves,Alfredo,279.0
42,Acevedo,Jose Omar,257.0
43,Acevedo,Juan Carlos,319.0
44,Achter,Adam Joseph,292.0
45,Acker,James Justin,284.0
46,Acker,Thomas James,291.0
47,Ackley,Dustin Michael,278.0
48,Ackley,Florian Frederick,275.0
49,Acosta,Cecilio,235.0
50,Acosta,Eduardo Elixbet,292.0
51,Acosta,Jose,200.0
52,Acosta,Manuel Alcides,291.0
