ID,2a,2b,2c,2d,Language,Decision
6512031,3,3,3,2,JScript,0
6830409,3,3,3,3,JScript,1
7859055,3,3,3,3,JScript,0
6709281,3,1,0,0,JScript,0
6815690,3,0,1,0,JScript,0
6687486,3,3,3,1,Python,1
6577724,3,3,2,0,Scratch,0
6756474,3,3,2,3,JScript,0
6560781,3,1,1,NR,JScript,0
6779385,3,2,2,3,JScript,1
6618150,3,3,3,2,Scratch,0
6559228,3,3,3,3,JScript,1
7130339,3,3,3,3,JScript,1
6772518,3,1,0,0,Jscript,0
6774486,3,3,3,3,Jscript,1
6681199,3,3,2,0,Jscript,0
6560013,3,3,3,3,Python,1
6791324,3,3,3,3,Java,1
6561057,3,2,3,3,Jscript,1
6840392,3,1,1,0,VB,0
6553001,3,3,3,3,Java,1
6828523,1,3,3,3,Jscript,0
7859056,3,3,3,2,Snap,0
6616619,3,2,2,3,Java,0
6550791,3,0,NR,NR,Jscript,0
6807984,3,3,2,1,Snap,0
7859057,3,3,2,3,C++,1
6507474,3,1,2,0,Jscript,0
6575909,3,1,1,0,Java,0
6758458,1,3,3,0,Jscript,0
6676078,3,1,3,3,Java,0
6791253,3,3,3,3,Jscript,1
6850173,3,1,1,1,Jscript,0
6570757,3,3,2,1,Snap,0
6584842,3,1,3,3,Java,1
6856165,3,3,2,0,Jscript,0
6684868,3,3,3,3,Lua,1
6558205,3,3,2,3,Java,1
6574117,3,3,3,0,Jscript,0
6590105,3,3,3,0,Python,0
6553279,3,3,1,3,Jscript,0
6803139,3,3,3,3,Jscript,1
6729980,3,3,1,0,Java,0
6676627,3,0,3,2,Snap,0
6639865,3,2,3,3,Snap,0
6672883,3,2,3,0,Scratch,0
6761919,3,3,1,3,Java,0
6828929,3,0,0,0,Scratch,0
6581302,3,1,1,0,Scratch,0
7859058,3,1,0,0,Jscript,0
6632336,3,2,2,2,Scratch,0
6662466,3,2,3,2,Proccessing,0
7859059,3,3,1,2,Scratch,0
6831041,3,3,1,0,Jscript,0
6700483,1,0,1,0,Jscript,0
6551585,3,3,2,3,HTML,1
6778168,3,2,2,2,Scratch,0
6774278,3,3,3,3,Jscript,1
6755849,3,3,2,3,Jscript,1
6695408,3,2,3,3,Jscript,1
6548531,2,1,2,0,Jscript,0
6758775,3,2,2,1,Jscript,0
6741478,3,3,3,3,Jscript,1
6622669,3,2,2,3,Jscript,1
6737372,3,1,1,0,Python,0
6850484,3,0,1,2,Jscript,0
6844718,3,3,3,3,Jscript,1
6866396,3,3,3,0,Jscript,0
6553107,3,3,3,3,Jscript,1
6668995,3,1,3,3,C#,0
7859060,3,2,2,2,Snap,0
6849147,3,0,1,3,Scratch,0
6845731,3,3,2,1,Jscript,0
6811682,3,1,0,NR,Jscript,0
6731756,3,2,2,0,Snap,0
6850257,3,1,3,1,Jscript,0
6576779,3,1,2,3,Scratch,0
6820511,3,2,3,3,C#,1
6834785,3,NR,NR,0,Jscript,0
6538976,3,3,0,0,Scratch,0
6832364,3,3,3,3,Java,1
6728934,3,3,3,3,Python,1
6749914,3,1,1,3,VB,0
6818444,3,3,3,3,Lua,1
6731907,3,0,1,1,Snap,0
6699747,3,3,2,3,Jscript,1
6656533,3,3,3,3,Jscript,1
6857411,3,2,1,3,Jscript,0
7859061,3,2,2,3,Python,1
6556837,3,3,2,1,Scratch,0
6808367,3,3,2,1,Scratch,0
6568604,3,3,3,3,Alice,1
6578217,3,3,3,1,Scratch,0
6645200,3,2,3,1,Scratch,0
6682121,3,1,1,1,Scratch,0
6552751,3,2,1,3,Jscript,0
6552557,3,3,3,3,Python,1
7022404,0,1,NR,0,HTML,0
6707000,3,3,2,0,Scratch,0
